dossier_id,doc_type,version,text
ocr_like_bdc_00001,bdc,v1,"BON DE COMMANDE LOGO Mace N°: BDC- 2026- 7370 45, rue Juliette Coulon, 70462 He8ert- les-Bains Date signature: 22/03/2026 SIRET: 34753352189315 IBAN: FR6526539774786967611518102 Facturer à : Marchal rue de Monnier, 30917 Fournier SIRET: 61936898486356 Paiement à 30 jours. IBAN: FR6526539774786967611518102 Merci de vtre confiance."
ocr_like_bdc_00002,bdc,v1,"BON DE COMMANDE LOGO Lemoine N°: BDC-2026-163 260, rue Boucher, 80639 AllainBourg Date signature: 07/03/2026 SIRET: 79948302280980 IBAN: FR7426107191913276402422202 Facturer à : Blanc 82, rue Lévy, 77702 Gomez SIRET: 56583074655840 Paiement à 30 jours. IBAN: FR7426107191913276402422202 Merci de votre confiance."
ocr_like_bdc_00003,bdc,v1,"BON DE COMMANDE LOGO Lombard N°: BDC-2026-6127 29, rue Camille Collin, 94942 Didier Date signature: 22/03/2026 SIRET: 00599491379096 IBAN: FR8732363538551343278749953 Facturer à : Maury 12, boulevard Louis, 91927 BlotVille SIRET: 03728964967772 Paiement a 30 jours. IBAN: FR8732363538551343278749953 Merci de votre confiance."
ocr_like_bdc_00004,bdc,v1,"BON DE COMMANDE -060 N°: BDC-2026-9753 Charpentier Date signature: 22/03/2026 5, avenue Rocher, 53111 Roche SIRET: o2999579144566 IBAN: FR7100930680487166733420710 Facturer à : Lopes Marin S.A. 9, boulevard Josette Dos Santos, 55286 Diaz SIRET: 90427224484726 Paiement à 30 jours. IBAN: FR7100930680487166733420710 Merci de votre confiance."
ocr_like_bdc_00005,bdc,v1,"BON DE COMMANDE LOGO Jean N°: BDC-2026-7049 rue Grégoire, 77750 Saint Jeannine-les-Bains Date 5ignature: 22/03/2026 SIRET: 70711652610970 IBAN: FR8697227148787575607518464 Facturer à : Auger et Fils 1, boulevard Christine Hebert, 01268 Breton-sur-Allai SIRET: 83042538413813 Paiement à 30 jours. IBAN: FR8697227148787575607518464 Merci de votre c o n f i a n c e."
ocr_like_bdc_00006,bdc,v1,"BON DE COMMANDE LOGO Maillard Legendre S.A.R.L. N°: BDC-2026-7620 89, avenue Marie Guyot, 34859 Dufournec Date signature: 22/03/2026 SIRET: 42489578239174 IBAN: FR1853612676682837649469285 Facturer à : Laroche 461, avenue de Neveu, 14191 Adam-les-Bains SIRET: 58643661358428 Paiement à 30 jours. IBAN: FR1853612676682837649469285 Merci de votre confiance."
ocr_like_bdc_00007,bdc,v1,"LOGO Voisin 66, rue Louis Maillot, 92517 Martinboeuf BO N D E CO M MAN D E SIRET: 91788228573389 N°: BDC-2026-6010 IBAN: FR2365700514243872578642547 Date signature: 22/03/2026 Facturer à : Le Goff SA 78, rue Arnaude Carlier, 037o8 Baillydan SIRET: 86519602072012 Paiement à 30 jours. IBAN: FR2365700514243872578642547 Merci de votre confiance."
ocr_like_bdc_00008,bdc,v1,"LOGO Rossi 2, chemin Charrier, 28574 Blanc- sur-Poulain BO N D E CO M MAN D E SIRET: 345199548597s6 N°: BDC-2026- 5751 IBAN: FR3734254178711083971482959 Date signature: 22/03/2026 Facturer à : Bodin 87, rue Legendre, 81687 Henryboeuf SIRET: 20/29558041366 Paiement à 30 jours. IBN: FR3734254178711083971482959 Merci de votre confiance."
ocr_like_bdc_00009,bdc,v1,"LOGO parmher aus LP BON DE COMMANDE 7, avenue Poirier, 97413 Adamboeuf SIRET: 31801300474334 N°: BDC-2026-5162 IBAN: FR9319783580748116529108194 Date signature: 22/03/2026 Facturer à : Bouchet 98, chemin Antoinette Le8reton, 53816 PhilippeBourg SIRET: 50371132091960 Paiement à 30 jours. IBAN: FR9319783580748116529108194 Merci de votre confiance."
ocr_like_bdc_00010,bdc,v1,"LOGO Léger 6, rue Noémi Boyer, 22513 Saint Paul BO N D E CO M MAN D E SIRET: 44573007272646 N°: BDC-2026- 1726 IBAN: FR5426856411740360670593386 Date signature: 22/03/2026 Facturer à : Guyot Carlier S.A. 1, chemin Danielle Delmas, 20872 Bruneau- sur-Mer SIRET: 952428b3641783 Paiement à 3o jours. IBAN: FR5426856411740360670593386 Merci de votre confiance."
ocr_like_bdc_00011,bdc,v1,"BON DE COMMANDE -060 N°: BDC-2026-9816 Bernard Julien S.A.S. J Date signature: 22/03/2026 586, avenue Élise Chartier, 62501 Sainte Éric SIRET: 87968096710806 IBAN: FR6564013144896155652229372 Facturer à : Legros Renault S.A.R.L. boulevard de Hebert, 15734 Descamps SIRET: 84023220706 Paiement à 30 jours. IBAN: FR6564013144896155652229372 Merci de votre confiance."
ocr_like_bdc_00012,bdc,v1,"BON DE COMMANDE - 060 N°: BDC- 2026- 475 Rodriguez Date signature: 22/03/2026 rue Payet, 63130 Sauvage SIRET: 40036474538560 IBAN: FR03350109961232o7587655748 Facturer à : Paris Lacombe S.A.S. rue de Raynaud, 9135 Leleu SIRET: 84505669762128 Paiement à 30 jours. IBAN: FR0335010996123207587655748 Merci de v0tre confiance."
ocr_like_bdc_00013,bdc,v1,"BON DE COMMANDE LOGO Bonnet N°: BDC-20265067 rue Moreno, 08608 Letellier Date signature: 22/03/2026 SIRET: 61622447024843 IBAN: FR0928294041698924163240414 Facturer à : Dupont 87, rue Mallet, 89107 Duval SIRET: 45755032077s7 Paiement à 30 jours. IBAN: FR0928294041698924163240414 Merci de votre confiance."
ocr_like_bdc_00014,bdc,v1,"LOGO Lévy 820, avenue Odette Lenoir, 50739 Ramos-les-Bains BO N D E CO M MAN D E SIRET: 51242893971972 N°: BDC-2026-7432 IBAN: FR4897130748653909947350634 Date signature: 22/03/2026 Facturer à : Morvan S.A. 6, chemin Théodore Simon, 77175 Thibault SIRET: 21643671b11045 Paiement à 30 jours. IBAN: FR4897130748653909947350634 Merci de votre confiance."
ocr_like_bdc_00015,bdc,v1,"BON DE COMMANDE -060 N°: BDC-2026-0706 Lelièvre S.A.R.L. Date signature: 22/03/2o26 rue de Poulain, 23106 Sainte ManonBourg SIRET: 82003616619509 IBAN: FR7406717781557o07890997277 Facturer à : Leclerc Robin S.A.S. 20, chemin Célina Gautier, 19462 Sainte MarcelleVille SIRET: 87481050977154 Paiement à 30 jours. IBAN: FR7406717781557007890997277 Merci de votre confiance."
ocr_like_bdc_00016,bdc,v1,"BON DE COMMANDE LOGO Lemaître SA N°: BDC- 2026- 3302 44, rue Rossi, 21219 Lefort-sur-Leconte Date signature: 22/03/2026 SIRET: 04824609274205 IBAN: FR4331327006101566536697261 Facturer à : Guillot 5, boulevard Gimenez, 15716 Foucher SIRET: 99396522424400 Paiement à 30 jours. IBAN: FR4331327006101566536697261 Merci de votre confiance."
ocr_like_bdc_00017,bdc,v1,"BON DE COMMANDE Los0 N°: BDC-2026-4126 Duhamel Date signature: 22/03/2026 24, boulevard Dumas, 37784 Chauveau-sur-Mer SIRET: 96719678346902 IBAN: FR4546110492188115359586051 Facturer à : Chauveau Deschamps SA 6, rue Jean Lagarde, 50623 Saint Anouknec SIRET: 94589543471460 Paiement à 30 jours. IBAN: FR45461l0492188115359586051 Merci de votre confiance."
ocr_like_bdc_00018,bdc,v1,"BON DE COMMANDE LOGO Lebrun N°: BDC-2026-9290 12, rue Pires, 40884 Sainte Aurélie Date signature: 22/03/2026 SIRET: 20207723415983 IBAN: FR2174119719671690517444245 Facturer à : Laurent rue de Daniel, 80194 Boucher-sur-Dufour SIRET: 24274314305085 Paiement a 30 jours. IBAN: FR2174119719671690517444245 Merci de votre confiance."
ocr_like_bdc_00019,bdc,v1,"LOGO Bonneau 3, chemin Alexandria Dubois, 28832 Petit BO N D E CO M MAN D E SIRET: 92955230272709 N°: BDC-2026-7794 IBAN: FR3832918884833078720173442 Date signature: 22/03/2026 Facturer à : Gonzalez 95, rue de Pereir, 81661 MasseVille SIRET: 14153373818892 Paiement à 30 jours. IBAN: FR3832918884833078720173442 Merci de votre confiance."
ocr_like_bdc_00020,bdc,v1,"BON DE COMMANDE LOGO Pierre SA N°: BDC-2026-6233 390, chemin Françoise Pires, 28686 Olivier Date signature: 22/03/2026 SIRET: 45681791653814 IBAN: FR7222097360715849877515371 Facturer à : Leleu Marques SARL rue de Pereira,
47371 Mace-sur-Gautier SIRET: 12546503784860 Paiement à 30 jours. IBAN: FR7222097360715849877515371 Merci de votre confiance"
ocr_like_bdc_00021,bdc,v1,"LOGO Vincent rue Legrand, 06968 BarbierBourg BO N D E CO M MAN D E SIRET: 9052162825213 N°: BDC-2026-8725 IBAN: FR362235255906695815504375 Date signature: 22/03/2026 Facturer à : Vaillant 1, chemin Petit, 59238 Laportenec SIRET: 02384187536938 Paiement à 30 jours. IBAN: FR36223525590466958 15504375 Merci de votre confiance."
